names,lat,lon,geometry,,100000
V K Krishna Gardenia bangalore,129171000,777613000,POINT (77.54853229999999 12.8780046),,
Peram's Eco City bangalore,129365000,777751000,POINT (77.8254697 13.130345),,
SJR Hamilton Homes bangalore,129099000,777680000,POINT (77.6976643 12.8654578),,
GM Infinite Daffodils bangalore,129039000,777555000,POINT (77.50699999999999 13.0617529),,
Prestige White Meadows bangalore,128730000,777539000,POINT (77.75272579999999 12.9751074),,
Celebrity Natures Habitat bangalore,128917000,777513000,POINT (77.79282119999999 12.8161591),,
Kolte Patil Mirabilis bangalore,129077000,777820000,POINT (77.66117300000001 13.031804),,
KNS Ojas bangalore,128855000,777514000,POINT (77.445078 12.947932),,
Provident Park Square Phase I bangalore,128901000,777578000,POINT (77.5406447 12.8636392),,
Keerthi Regalia bangalore,128839000,777723000,POINT (77.6846989 12.9103529),,
ND Magnolia Apartment bangalore,128705000,777589000,POINT (77.76798330000001 12.9745516),,
Brigade Atmosphere bangalore,129074000,777743000,POINT (77.7388028 13.2661949),,
Land Capital Primero bangalore,128776000,777788000,POINT (77.7048731 12.905134),,
SSVR Iris bangalore,128738000,777602000,POINT (77.7336308 12.9401171),,
Camellia Pride bangalore,128886000,777525000,POINT (77.74851289999999 12.9334857),,
Trinco Nandanavana bangalore,129473000,777525000,POINT (77.6041391 12.9147753),,
North Gardens bangalore,128979000,777672000,POINT (77.5945627 12.9715987),,
Lotus Petals bangalore,129152000,777797000,POINT (77.59897769999999 12.8572384),,
Soni Tranquil bangalore,129526000,777787000,POINT (77.59261409999999 12.9001488),,
Taapasi Rosevista bangalore,129211000,777828000,POINT (77.6450215 13.1251357),,
SVR Green Woods bangalore,128971000,777853000,POINT (77.7224729 12.9478872),,
SD Aashrita bangalore,129196000,777550000,POINT (-99.9018131 43.9695148),,
Sidvin Grace Apartment bangalore,128961000,777643000,POINT (77.4971036 12.960705),,
SJR Hamilton Homes bangalore,129304000,777769000,POINT (77.6976643 12.8654578),,
Trinco Nandanavana bangalore,129425000,777635000,POINT (77.6041391 12.9147753),,
North Gardens bangalore,128664000,777582000,POINT (77.5945627 12.9715987),,
Lotus Petals bangalore,129631000,777608000,POINT (77.59897769999999 12.8572384),,
Kolte Patil Mirabilis bangalore,128597000,777743000,POINT (77.66117300000001 13.031804),,
Prestige Lakeside Habitat bangalore,129405000,777685000,POINT (77.7401083 12.9299576),,
Provident Park Square Phase I bangalore,129020000,777518000,POINT (77.5406447 12.8636392),,
Brigade Atmosphere bangalore,128721000,777702000,POINT (77.7388028 13.2661949),,
Prestige Fontaine Bleau bangalore,129232000,777694000,POINT (77.7417992 12.9757829),,
Vasundra Krishnashreya bangalore,129275000,777804000,POINT (77.49931140000001 12.9797094),,
SSVR Iris bangalore,129229000,777842000,POINT (77.7336308 12.9401171),,
Assetz Leaves & Lives bangalore,129333000,777518000,POINT (77.70514709999999 12.8864479),,
Soni Tranquil bangalore,129489000,777764000,POINT (77.59261409999999 12.9001488),,
SVR Green Woods bangalore,129291000,777521000,POINT (77.7224729 12.9478872),,
Samruddhi Nandana bangalore,129199000,777809000,POINT (77.72768189999999 13.0021832),,
Green City Eutopia bangalore,129434000,777502000,POINT (77.6099162 12.9097565),,
RS Sanchike bangalore,128799000,777678000,POINT (77.47806919999999 12.9232226),,
Brigade Buena Vista Phase II bangalore,128787000,777723000,POINT (77.73973289999999 13.0639183),,
Dhruv Paradise bangalore,129415000,777540000,POINT (77.6837666 12.9027777),,
Ahad Euphoria bangalore,129041000,777533000,POINT (77.70806759999999 12.8964286),,
Pramuk MM Meridian bangalore,128764000,777680000,POINT (77.5751633 12.93025),,
Saideep Hulas bangalore,129081000,777544000,POINT (77.74364489999999 13.0416462),,
Adarsh Tranqville bangalore,129189000,777538000,POINT (77.6533609 13.0779618),,
Adithya Tranquil bangalore,129093000,777614000,POINT (77.60800720000002 13.1207272),,
Prestige Summer Fields bangalore,128795000,777839000,POINT (77.6967126 12.9231407),,
Mahaveer Carnation bangalore,129239000,777743000,POINT (77.59954599999999 12.9666845),,
Sanvi Sankalpam bangalore,129439000,777543000,POINT (77.7713555 12.9697226),,
MBR Suave bangalore,129083000,777509000,POINT (77.7506585 13.0073616),,
The Five Summit Address bangalore,129344000,777619000,POINT (77.72675099999999 12.985145),,
Brigade Lakefront Blue bangalore,129053000,777826000,POINT (77.7113528 12.9789932),,
Royale Township bangalore,129465000,777633000,POINT (77.44583919999999 13.087926),,
Damden Vivo bangalore,128856000,777814000,POINT (77.7830215 12.8001258),,
Shri Balaji Ocean bangalore,128600000,777860000,POINT (77.72563219999999 12.839761),,
RR Roshan Platinum bangalore,129673000,777696000,POINT (77.60568889999999 12.8840635),,
Sekhar Casa Bianca bangalore,129214000,777581000,POINT (77.7162381 12.9387133),,
Concorde Epitome bangalore,129696000,777691000,POINT (77.6940515 12.8378157),,
KR Grand View Heights bangalore,129226000,777521000,POINT (77.67285699999999 13.0191483),,
Assetz East Point bangalore,128625000,777780000,POINT (77.69453949999999 12.9212968),,
Trillium Apartment bangalore,128930000,777563000,POINT (77.69080799999999 12.867074),,
Legacy Calista bangalore,128866000,777720000,POINT (77.5681996 13.111337),,
Purva Zenium bangalore,128527000,776234000,POINT (77.6389257 13.1460926),,
JRC Palladio bangalore,129343000,775492000,POINT (77.77295669999999 12.8275997),,
Sowparnika Tharangini bangalore,128905000,776057000,POINT (77.78777359999999 12.8831728),,
Expart The Wisdom Tree bangalore,128618000,775783000,POINT (77.63975789999999 13.0610879),,
Legacy Saviero bangalore,128737000,776596000,POINT (77.66188510000001 13.0239094),,
Godrej Eternity bangalore,129000000,775958000,POINT (77.5407321 12.8570477),,
Sri Balaji Monarch bangalore,128986000,775958000,POINT (77.70474299999999 12.9050736),,
Sumadhura Eden Garden bangalore,129111000,776116000,POINT (77.75069270000002 13.0283684),,
Asset Arcadia bangalore,128595000,776199000,POINT (77.7556354 12.8249955),,
Sanjana Supreme bangalore,129332000,776389000,POINT (77.6198368 12.8821041),,
Embassy Edge bangalore,128504000,776285000,POINT (77.7145355 13.2459154),,
Lennar Edifice bangalore,128970000,776558000,POINT (77.7370902 12.9779258),,
MV Vajra Value Plus bangalore,129230000,776659000,POINT (77.55231669999999 12.879664),,
Sipani Bliss 1 bangalore,128585000,775494000,POINT (77.72399589999999 12.7808199),,
V Venture Essence bangalore,129070000,775786000,POINT (77.5902232 12.8921457),,
Sowparnika Indraprastha bangalore,128643000,776706000,POINT (77.822102 12.9865162),,
Pavani Divine bangalore,128829000,776595000,POINT (77.7181327 12.9831056),,
Bluejay Atmosphere bangalore,129175000,775761000,POINT (77.48132799999999 13.026091),,
Vikas Hills View Meadows bangalore,128454000,776057000,POINT (77.52991969999999 12.896422),,
Bluejay Atmosphere bangalore,128871000,776064000,POINT (77.48132799999999 13.026091),,
Pavani Divine bangalore,128459000,776705000,POINT (77.7181327 12.9831056),,
Bhartiya City 2 bangalore,129114000,775769000,POINT (77.6423729 13.0832763),,
Sanjana Supreme bangalore,128705000,775507000,POINT (77.6198368 12.8821041),,
V Venture Essence bangalore,128957000,776320000,POINT (77.5902232 12.8921457),,
Total Environment The Magic Faraway Tree Phase II bangalore,128693000,776473000,POINT (77.5298378 12.8596021),,
SLV Diamond bangalore,128843000,776520000,POINT (77.63589259999999 13.0375445),,
TooGoodHomes by Provident bangalore,129246000,776502000,POINT (77.6194189 13.0831589),,
SLV Lakshmi Narayana Nilaya bangalore,128586000,775913000,POINT (77.621871 12.997227),,
Chariot Windsor Castel bangalore,128446000,776174000,POINT (77.7685616 12.8595114),,
Citrus Florence bangalore,128487000,776318000,POINT (77.5945627 12.9715987),,
Dhiraan Newyork Meadows bangalore,129169000,775511000,POINT (77.71162030000001 12.7879805),,
Inner Spaces Meadow In The Sun bangalore,128866000,775738000,POINT (77.6726237 12.8982134),,
ND Around The Mangoes bangalore,128967000,776285000,POINT (77.60450949999999 12.9099636),,
Amigo Estella bangalore,128690000,775664000,POINT (77.6330036 13.0608351),,
SLV Magnum bangalore,129342000,775771000,POINT (77.62421280000001 12.9108838),,
Navami Funique bangalore,129156000,776610000,POINT (77.6546046 12.8695931),,
Bluejay Nine Forum bangalore,129252000,775599000,POINT (77.64013039999999 12.8645663),,
Pionier Lifestyle bangalore,128471000,776415000,POINT (77.69595129999999 12.8728757),,
Purva Midtown Residences bangalore,128601000,775615000,POINT (77.6663724 12.9996774),,
Aratt Firenza bangalore,128846000,776305000,POINT (77.6619456 12.8291828),,
Grand Duke Villas bangalore,129000000,775926000,POINT (77.6963918 12.7609104),,
Sowmya Shailam bangalore,128868000,775485000,POINT (77.57375990000001 12.9437506),,
A Peace Paramount bangalore,129161000,775852000,POINT (77.56665579999999 13.1141821),,
Sobha Morzaria Grandeur Phase II bangalore,129287000,776634000,POINT (77.6019266 12.9339158),,
Patel Smondoville bangalore,128992000,776564000,POINT (77.65774549999999 12.8219467),,
Arsis Green Hills bangalore,129330000,776045000,POINT (77.707093 13.019059),,
Purva Westend bangalore,128598000,776360000,POINT (77.63837459999999 12.89072),,
Maarq Alpha bangalore,128908000,776002000,POINT (77.70218369999999 12.9144324),,
Patel Smondoville bangalore,129254000,776478000,POINT (77.65774549999999 12.8219467),,
Pashmina Lagoon Residences bangalore,129207000,776529000,POINT (77.7242591 13.0754163),,
Arsis Green Hills bangalore,128679000,776578000,POINT (77.707093 13.019059),,
Columbia Belleza bangalore,129005000,776360000,POINT (77.57807529999999 12.8711086),,
Bren Trillium bangalore,129183000,776538000,POINT (77.66641539999999 12.8661314),,
Nitesh Caesars Palace bangalore,128785000,776467000,POINT (77.546492 12.8776451),,
Patel Smondo 2 bangalore,129150000,775925000,POINT (77.6598477 12.8217185),,
Godrej Woodsman Estate bangalore,128855000,775936000,POINT (77.5960248 13.0544261),,
Prestige Park Square bangalore,128921000,776733000,POINT (77.58784519999999 12.8469172),,
VRR Nest bangalore,128909000,775711000,POINT (77.6629466 12.8639934),,
Sizzle Gold Coast bangalore,128955000,775611000,POINT (77.6599252 13.0161167),,
Sobha HRC Pristine bangalore,129118000,775554000,POINT (77.6059904 13.0679382),,
Shoban Silver Domicile bangalore,129111000,776481000,POINT (77.62788309999999 13.0626596),,
VBHC Palmhaven Phase II bangalore,129262000,776225000,POINT (77.47229659999999 12.8823501),,
NCC Urban Green Province bangalore,129111000,775513000,POINT (77.7720839 12.866571),,
Incor Carmel Heights bangalore,128592000,776361000,POINT (77.74778549999999 12.9608801),,
Hatha Coco Nest bangalore,128973000,776720000,POINT (77.67882329999999 12.9452912),,
The Magic Faraway Tree bangalore,128594000,776597000,POINT (77.52995439999999 12.859542),,
Hiranandani Evita bangalore,128560000,776583000,POINT (77.6121874 12.8760537),,
Midtown Raaga bangalore,128943000,776299000,POINT (77.7300865 13.0045009),,
Ambika Arcade bangalore,128638000,776321000,POINT (77.72676149999999 13.236074),,
Bren Paddington bangalore,128818000,776686000,POINT (77.6758485 12.9184653),,
Master Classic Residency bangalore,129203000,775538000,POINT (77.59984969999999 13.0925662),,
Avanti by Shriline bangalore,129068000,775595000,POINT (77.7072491 12.7101547),,
Purva Coronation Square bangalore,129116000,776418000,POINT (77.5795323 12.8953453),,
Krishna Greens North Pride bangalore,128558000,775762000,POINT (77.61911599999999 13.270314),,
Adarsh Palm Retreat Mayberry bangalore,129117000,776737000,POINT (77.6942608 12.9164497),,
Garuda Royal Homes bangalore,129221000,776482000,POINT (77.7057087 13.0151889),,
Provident WelWorth City bangalore,129098000,775913000,POINT (77.54809729999999 13.2293032),,
Adiga 100 trees bangalore,128700000,776540000,POINT (77.59403229999999 12.9185092),,
Purva Coronation Square bangalore,128883000,776725000,POINT (77.5795323 12.8953453),,
Nitesh Rio bangalore,129035000,775765000,POINT (77.535788 12.8631579),,
Urban Eco Space bangalore,128652000,776438000,POINT (77.79813899999999 12.8318138),,
Adarsh Palm Retreat Mayberry bangalore,129215000,776581000,POINT (77.6942608 12.9164497),,
Garuda Royal Homes bangalore,129308000,776340000,POINT (77.7057087 13.0151889),,
Prestige Royal Garden 2 bangalore,129198000,776558000,POINT (77.57063950000001 13.1395085),,
Godrej Reflections bangalore,129151000,776140000,POINT (77.668165 12.9118913),,
Prestige Kenilworth bangalore,129094000,775769000,POINT (77.59613109999999 12.9902606),,
Adiga 100 trees bangalore,129301000,775614000,POINT (77.59403229999999 12.9185092),,
Iconest 3 bangalore,128736000,776693000,POINT (77.6796032 12.8011407),,
Disha Central Park bangalore,129027000,775502000,POINT (77.713246 12.9376923),,
Sumadhura Nandanam bangalore,128849000,776014000,POINT (77.71390769999999 12.9905248),,
Purva Seasons bangalore,129312000,776627000,POINT (77.66685409999999 12.9878209),,
Maarq Vista bangalore,128613000,775846000,POINT (77.71509759999999 13.410396),,
Icon Sanctuary bangalore,128801000,775925000,POINT (77.80967699999999 12.8554461),,
Adarsh Pinecourt bangalore,129206000,775779000,POINT (77.66192149999999 13.0837992),,
Ajmera Nucleus bangalore,128957000,776512000,POINT (77.6807465 12.851016),,
Whitestone Florenso bangalore,129261000,776489000,POINT (77.76276799999999 13.059249),,
Unicon North Brooks 46 bangalore,128902000,775442000,POINT (77.5561585 13.1042012),,
KBR Elite bangalore,129085000,775871000,POINT (77.60612789999999 13.048417),,
CMRS Mulberry Mist bangalore,128704000,775668000,POINT (77.7524506 12.9450837),,
Brigade Orchards Juniper bangalore,129004000,775477000,POINT (77.723767 13.2264186),,
Ramky One North bangalore,129333000,776210000,POINT (77.5706196 13.1361505),,
Icon Laurels bangalore,129287000,776186000,POINT (77.6793722 12.7998369),,
Ambika Anjanadri Layout bangalore,129273000,776134000,POINT (77.6612167 13.0027226),,
Fortuna Acacia bangalore,129274000,776147000,POINT (77.58699580000001 13.0698679),,
G Corp Residences bangalore,129265000,776212000,POINT (77.63659729999999 12.9303569),,
Arya Hamsa bangalore,129283000,776154000,POINT (77.57451949999999 12.8599997),,
Northern Destiny bangalore,129332000,776185000,POINT (77.63371990000002 13.1000006),,
Bren Palms bangalore,129190000,776124000,POINT (77.6447601 12.8911424),,
Roma Epicurean bangalore,129256000,776140000,POINT (77.7347721 12.9671),,
CMRS Mulberry Mist bangalore,129235000,776165000,POINT (77.7524506 12.9450837),,
Manar Pureearth bangalore,129257000,776214000,POINT (77.78723459999999 12.8667734),,
Adarsh Premia bangalore,129256000,776149000,POINT (77.5616 12.920315),,
VRR Fortuna bangalore,129310000,776223000,POINT (77.70290810000002 12.9048311),,
Gina Shalom bangalore,129202000,776155000,POINT (77.70791849999999 13.0184845),,
Alembic Urban Forest bangalore,129317000,776169000,POINT (77.76096770000001 12.9853338),,
Northern Destiny bangalore,129183000,776146000,POINT (77.63371990000002 13.1000006),,
Bren Palms bangalore,129248000,776190000,POINT (77.6447601 12.8911424),,
TG Epitome bangalore,129335000,776146000,POINT (77.68980809999999 12.8671517),,
Ambiience Aamby City bangalore,129340000,776134000,POINT (77.81879239999999 13.1319198),,
NVT Arcot Vaksana bangalore,129300000,776154000,POINT (77.7840279 12.8536467),,
Uniidus Breeze bangalore,129205000,776197000,POINT (77.711179 12.944991),,
Marvel Sequoia bangalore,129342000,776191000,POINT (77.7591065 12.9853863),,
Raja Aristos bangalore,129288000,776127000,POINT (77.5981177 12.8639286),,
Swathi Magnolia bangalore,129253000,776171000,POINT (77.5945627 12.9715987),,
LGCL Happy Days bangalore,129211000,776153000,POINT (77.66594429999999 13.0764068),,
Reliaable Dollar Colony Phase II bangalore,129195000,776171000,POINT (77.6734677 12.8608338),,
Skylark Dasos bangalore,129312000,776193000,POINT (77.665454 13.062335),,
Aswani Sunshine bangalore,129319000,776231000,POINT (77.7735794 12.8350619),,
Vaswani Menlo Park bangalore,129294000,776234000,POINT (77.717493 12.9492007),,
SNN Raj GreenBay bangalore,129318000,776170000,POINT (77.67846899999999 12.852932),,
Zed Earth bangalore,129338000,776199000,POINT (77.57827159999999 13.0054998),,
Kolte Patil 24K Grazio bangalore,129265000,776217000,POINT (77.63085839999999 12.9246763),,
Godrej E-City bangalore,129287000,776190000,POINT (77.65302580000001 12.8534247),,
Embassy Pristine bangalore,129294000,776168000,POINT (77.6609868 12.9280203),,
The Presidential Tower bangalore,129290000,776232000,POINT (77.5451712 13.0265663),,
SBI New Bangalore bangalore,129292000,776204000,POINT (77.6164271 12.8762164),,
Niranjan Genesis bangalore,129286000,776145000,POINT (77.6232727 12.8650822),,
Mahaveer Sitara bangalore,129261000,776119000,POINT (77.5866427 12.8937),,
Prestige Silver Sun bangalore,129268000,776178000,POINT (77.6961269 12.9241916),,
Niranjan Genesis bangalore,129351000,776160000,POINT (77.6232727 12.8650822),,
The Presidential Tower bangalore,129189000,776125000,POINT (77.5451712 13.0265663),,
Indio Classic bangalore,129327000,776237000,POINT (77.5945627 12.9715987),,
Chethana Heritage bangalore,129214000,776185000,POINT (77.5945627 12.9715987),,
SBI New Bangalore bangalore,129316000,776234000,POINT (77.6164271 12.8762164),,
Motzkin Park Terrace bangalore,129291000,776129000,POINT (77.77764979999999 12.8277163),,
Skylark Royaume bangalore,129181000,776195000,POINT (77.66587799999999 12.8661023),,
Brigade Northridge - Phase 1 bangalore,129258000,776201000,POINT (77.630922 13.1012353),,
LGCL Stonescape bangalore,129179000,776183000,POINT (77.66253589999999 13.0793738),,
Pioneer Sun Blossom bangalore,129279000,776157000,POINT (77.648506 12.8348947),,
Salarpuria Sattva Magnificia bangalore,129262000,776144000,POINT (77.6689762 12.9962293),,
Sai Purvi Symphony bangalore,129239000,776150000,POINT (77.736761 12.9194265),,
S2 Homes Butterfly Gardens bangalore,129284000,776186000,POINT (77.6316248 12.7671408),,
HM Indigo bangalore,129303000,776170000,POINT (77.57147019999999 12.8730577),,
Radiant Lake View bangalore,129326000,776194000,POINT (77.7210642 13.0320876),,
Asset Aura bangalore,129222000,776190000,POINT (77.72203800000001 12.921249),,
Nambiar Bellezea bangalore,129253000,776156000,POINT (77.72703199999999 12.8423459),,
Salarpuria Sattva Casa Irene bangalore,129213000,776136000,POINT (77.59114049999999 12.8646922),,
Fire Luxur The Empyrean Phase II bangalore,129282000,776236000,POINT (77.8677685 12.9048299),,
SNN Raj Serenity bangalore,129273000,776194000,POINT (77.61376799999999 12.8589085),,
Atco Sapphire bangalore,129264000,776146000,POINT (77.77674829999999 12.8606884),,
Rsun Sushmitham bangalore,129227000,776235000,POINT (77.7659146 12.9890574),,
Peace Rhythm bangalore,129346000,776234000,POINT (77.49780029999999 12.9500313),,
Prestige Jade Pavillion bangalore,129245000,776215000,POINT (77.6956648 12.9216881),,
Oceanus Tranquil bangalore,129299000,776164000,POINT (77.6894379 13.0372514),,
Fortius Under The Sun bangalore,129298000,776161000,POINT (77.67890609999999 13.2364997),,
Pioneer KRS Park Royal bangalore,129178000,776231000,POINT (77.4995552 12.9293554),,
Prestige Shantiniketan bangalore,129234000,776190000,POINT (77.731264 12.989259),,
Habitat Crest bangalore,129332000,776126000,POINT (77.7227793 12.9907059),,
Ruchira Aarna Homes bangalore,129336000,776163000,POINT (77.75527939999999 12.9647206),,
Goyal Alanoville bangalore,129314000,776187000,POINT (77.6594168 13.0887141),,
Purva Skywood bangalore,129194000,776144000,POINT (77.6607174 12.8944929),,
S2 Homes Butterfly Gardens bangalore,129213000,776163000,POINT (77.6316248 12.7671408),,
Brigade Northridge Phase II bangalore,129274000,776223000,POINT (77.630922 13.1012353),,
MN Guru Akshitha bangalore,129184000,776122000,POINT (77.63287 13.092666),,
Puravankara Elita Promenade bangalore,129267000,776229000,POINT (77.6019434 12.8505636),,
Radiant Lake View bangalore,129298000,776217000,POINT (77.7210642 13.0320876),,
Asset Aura bangalore,129295000,776173000,POINT (77.72203800000001 12.921249),,
Brinda Imperial Phase I bangalore,129292000,776144000,POINT (77.64903799999999 12.753406),,
Fire Luxur The Empyrean Phase II bangalore,129265000,776144000,POINT (77.8677685 12.9048299),,
Blue Bell Homes bangalore,129213000,776141000,POINT (77.70421250000001 12.9676128),,
Atco Sapphire bangalore,129332000,776123000,POINT (77.77674829999999 12.8606884),,
Oceanus Tranquil bangalore,129279000,776235000,POINT (77.6894379 13.0372514),,
Fortius Under The Sun bangalore,129296000,776140000,POINT (77.67890609999999 13.2364997),,
Pavani Sarovar Phase II bangalore,129221000,776196000,POINT (77.73409719999999 12.9726354),,
Chamundi Amber Woods bangalore,129208000,776203000,POINT (77.53045089999999 12.8763746),,
Ajmera Annex bangalore,129283000,776226000,POINT (77.6463682 12.8420581),,
Kumar Princetown Royale bangalore,129321000,776127000,POINT (77.5200615 13.0606714),,
Gopalan Atlantis bangalore,129254000,776161000,POINT (77.7439856 12.9741618),,
Spad Classic Nakshatra Nestilo bangalore,129251000,776225000,POINT (77.7499354 12.9640102),,
Opera Spring Leaf bangalore,129300000,776233000,POINT (77.61832369999999 12.8983834),,
The Advantage Raheja Pebble Bay bangalore,129186000,776143000,POINT (77.62840749999999 12.9175193),,
Evershine Greenwood bangalore,129282000,776129000,POINT (77.78054159999999 12.8610024),,
Adarsh Palm Meadows bangalore,129234000,776214000,POINT (77.74059419999999 12.9574201),,
Mantri Centrium bangalore,129260000,776228000,POINT (77.56184850000001 13.0040638),,
Nitesh Cape Cod bangalore,129312000,776169000,POINT (77.67501229999999 12.9224054),,
Arna Meadows bangalore,129214000,776121000,POINT (77.6030904 12.8627811),,
Jain Heights Grand West bangalore,129286000,776138000,POINT (77.5504018 13.0171545),,
Splendid Lake Dews bangalore,129315000,776178000,POINT (77.6272663 12.8700365),,
Jain Heights Grand West bangalore,129269000,776192000,POINT (77.5504018 13.0171545),,
Puravankara Elita Promenade bangalore,129219000,776223000,POINT (77.6019434 12.8505636),,
Aswani Aaeesha bangalore,129566000,776309000,POINT (77.6734677 12.8608338),,
New India Tanzanite bangalore,129632000,776316000,POINT (77.61897620000001 13.1020363),,
Esteem Emblem bangalore,129407000,776354000,POINT (77.6846614 12.8382576),,
Adisesh Prime bangalore,129530000,776272000,POINT (77.99826999999999 13.08155),,
Sai Sowbagya bangalore,129731000,776279000,POINT (77.68355129999999 12.9081743),,
Pavani Sarovar Phase II bangalore,129755000,776303000,POINT (77.73409719999999 12.9726354),,
Chamundi Amber Woods bangalore,129648000,776266000,POINT (77.53045089999999 12.8763746),,
Samhita Elite bangalore,129563000,776361000,POINT (77.70421859999999 13.0351177),,
Saroj Harmony bangalore,129752000,776347000,POINT (77.7418874 12.9313675),,
DSMAX STONESCAPE bangalore,129554000,776285000,POINT (77.5573227 12.8518163),,
Manifest Elite bangalore,129680000,776331000,POINT (77.5945627 12.9715987),,
Sobha Silicon Oasis Row Houses bangalore,129369000,776320000,POINT (77.6612248 12.867993),,
The Advantage Raheja Pebble Bay bangalore,129665000,776287000,POINT (77.62840749999999 12.9175193),,
Sumadhura Lake Breeze bangalore,129508000,776252000,POINT (77.7248939 12.9566809),,
Srimitra Lifestyle bangalore,129677000,776261000,POINT (77.668072 13.0305625),,
Sobha Lake Gardens bangalore,129594000,776352000,POINT (77.7241543 13.0191276),,
Rand Pride Homes bangalore,129621000,776356000,POINT (77.69299070000001 12.9780797),,
JK Suchiraa Villas bangalore,129713000,776326000,POINT (77.5173107 13.0694552),,
Unishire Spacio bangalore,129490000,776358000,POINT (77.6048938 12.8849319),,
Sriven Rag Meridian bangalore,129410000,776381000,POINT (77.68987679999999 12.8183059),,
Arna Meadows bangalore,129668000,776328000,POINT (77.6030904 12.8627811),,
KMB La Palazzo bangalore,129776000,776250000,POINT (77.6659963 12.9196722),,
Sowparnika Flamenco bangalore,129369000,776376000,POINT (77.7850851 12.8550179),,
Ozone Urbana Avenue bangalore,129697000,776381000,POINT (77.6158504 12.9757272),,
Sipani Wattle Grove bangalore,129698000,776403000,POINT (77.623403 12.940446),,
Dhammanagi Kings Ville bangalore,129356000,776393000,POINT (77.583631 12.9960918),,
Upkar Garden bangalore,129503000,776300000,POINT (77.72456649999999 12.7786333),,
Unishire Spacio bangalore,129625000,776321000,POINT (77.6048938 12.8849319),,
Aryan Fountain Square bangalore,129576000,776276000,POINT (77.774883 12.7867076),,
Millennia Lakeview bangalore,129680000,776251000,POINT (77.69838349999999 12.8776976),,
Karle Zenith Residences bangalore,129527000,776396000,POINT (77.61612939999999 13.0472844),,
DSMAX STONESCAPE bangalore,129437000,776245000,POINT (77.5573227 12.8518163),,
Sipani Wattle Grove bangalore,129429000,776366000,POINT (77.623403 12.940446),,
Dhammanagi Kings Ville bangalore,129519000,776274000,POINT (77.583631 12.9960918),,
Prestige Ferns Residency bangalore,129580000,776366000,POINT (77.66220729999999 12.9029705),,
Srimitra Lifestyle bangalore,129443000,776345000,POINT (77.668072 13.0305625),,
Hiranandani Club Meadows bangalore,129625000,776287000,POINT (77.612397 12.875594),,
JK Suchiraa Villas bangalore,129510000,776378000,POINT (77.5173107 13.0694552),,
Upkar Habitat bangalore,129489000,776287000,POINT (77.78244289999999 12.7445533),,
Vaishnavi Nakshatra bangalore,129450000,776288000,POINT (77.54917760000001 13.0254031),,
VMAKS Heights bangalore,129668000,776269000,POINT (77.6978783 12.8367538),,
BSR Sunshine bangalore,129719000,776338000,POINT (77.5984395 13.0463979),,
Ozone Urbana Avenue bangalore,129520000,776347000,POINT (77.6158504 12.9757272),,
Sobha Ruby bangalore,129736000,776290000,POINT (77.5000402 13.0446521),,
Sobha Valley View bangalore,129366000,776402000,POINT (77.52905579999999 12.9312341),,
Canary Woods bangalore,129555000,776383000,POINT (77.5945627 12.9715987),,
Hiranandani Glen Gate bangalore,129717000,776288000,POINT (77.5743451 13.0530787),,
Sobha Clovelly bangalore,129658000,776376000,POINT (77.55590789999999 12.911386),,
Prestige Lakeside Habitat Villa bangalore,129751000,776274000,POINT (77.7401083 12.9299576),,
Dharma Elite bangalore,129497000,776394000,POINT (77.65204690000002 13.0103618),,
Jain Heights East Parade bangalore,129365000,776352000,POINT (77.6823713 12.9735006),,
Dharma Castle bangalore,129749000,776379000,POINT (77.6532302 13.0106268),,
Sobha Daisy bangalore,129605000,776375000,POINT (77.66806339999999 12.9282006),,
Provident Harmony bangalore,129523000,776345000,POINT (77.625441 13.080659),,
Hrvy Sai Sapphire bangalore,129451000,776267000,POINT (77.57857159999999 12.8947372),,
Shravanthi Oakridge bangalore,129635000,776385000,POINT (77.52955089999999 12.8720988),,
ARK Cloud City bangalore,129369000,776348000,POINT (77.76340929999999 12.9842196),,
Vishwapriya Vertical Garden bangalore,129649000,776398000,POINT (77.5231804 12.9385302),,
Shriram Godhuli bangalore,129591000,776335000,POINT (77.80969259999999 13.4682719),,
Opera Canopus bangalore,129781000,776397000,POINT (77.6214482 12.8872949),,
Aster Residential Layout bangalore,129572000,776356000,POINT (77.6358182 12.916873),,
Sipani Jardin bangalore,129684000,776374000,POINT (77.7296121 12.7780888),,
Alpine Viva 2 bangalore,129423000,776365000,POINT (77.7609495 13.0143196),,
Sobha Indraprastha bangalore,129745000,776245000,POINT (77.5634417 12.9811535),,
Pyramid Carnations bangalore,129601000,776303000,POINT (77.56224709999999 13.1351114),,
L&T South City bangalore,129519000,776286000,POINT (77.591002 12.8877919),,
Buildmann Aaroha Condominiums  bangalore,129557000,776406000,POINT (77.70258500000001 13.038895),,
LGCL Luxuriate bangalore,129489000,776279000,POINT (77.6347147 12.9165932),,
Sunil Orchid bangalore,129476000,776315000,POINT (77.5945627 12.9715987),,
Svamitva Emerald Square bangalore,129766000,776403000,POINT (77.67012369999999 12.8146987),,
RJ Brooke Square bangalore,129416000,776328000,POINT (77.7203535 12.9649561),,
Balaji Ashirvaad Elite bangalore,129672000,776347000,POINT (77.59766669999999 12.8547931),,
Ma Sarada Casa Estrella bangalore,129617000,776327000,POINT (77.68640409999999 12.7964534),,
Hiranandani Horizon bangalore,129711000,776329000,POINT (72.90914359999999 19.1153798),,
